original_genus	original_species	new_genus	new_species	change	publication
Tantalia	albovittata	Scaptomyza	albovittata	new_synonym	Hardy_1965_InsectsOfHawaii
Ateledrosophila	diamphidia	Drosophila	diamphidia	new comb	Kaneshiro_1976_RevisionGeneric
Antopocerus	aduncus	Drosophila	adunca	new comb	Kaneshiro_1976_RevisionGeneric
Nudidrosophila	aenicta	Drosophila	aenicta	new comb	Kaneshiro_1976_RevisionGeneric
Nudidrosophila	amita	Drosophila	amita	new comb	Kaneshiro_1976_RevisionGeneric
Antopocerus	cognatus	Drosophila	cognata	new name	Kaneshiro_1976_RevisionGeneric
Antopocerus	diamphidiopodus	Drosophila	diamphidiopoda	new comb	Kaneshiro_1976_RevisionGeneric
Antopocerus	entrichocnemus	Drosophila	entrichocnema	new comb	Kaneshiro_1976_RevisionGeneric
Nudidrosophila	eximia	Drosophila	eximia	new comb	Kaneshiro_1976_RevisionGeneric
Nudidrosophila	gemmula	Drosophila	gemmula	new comb	Kaneshiro_1976_RevisionGeneric
Nudidrosophila	lepidobregma	Drosophila	lepidobregma	new comb	Kaneshiro_1976_RevisionGeneric
Antopocerus	longiseta	Drosophila	longiseta	new name	Kaneshiro_1976_RevisionGeneric
Antopocerus	orthopterus	Drosophila	orthoptera	new comb	Kaneshiro_1976_RevisionGeneric
Ateledrosophila	preapicula	Drosophila	preapicula	new comb	Kaneshiro_1976_RevisionGeneric
Antopocerus	tanythrix	Drosophila	tanythrix	new comb	Kaneshiro_1976_RevisionGeneric
Antopocerus	villosus	Drosophila	villosa	new comb	Kaneshiro_1976_RevisionGeneric
Antopocerus	arcuatus	Drosophila	arcuata	new comb	Kaneshiro_1976_RevisionGeneric
