subgenus	genus	species	genus author	species author	body_length	wing_length	body_and_wing_length	sex	type	length notes
	Drosophila	mimiconfutata	sensu lato	n sp	3.2	3.6		male		
	Drosophila	molokaiensis	sensu lato	Grimshaw		4.3		male		body without head, 3.25 mm.
	Drosophila	musae	sensu lato	n sp	3.6	3.9		male		
	Drosophila	musaphilia	sensu lato	n sp	5	5.25		male		
	Drosophila	mycetophila	sensu lato	n sp			2.0-2.2	male		
	Drosophila	nanella	sensu lato	n sp	1.8	2.15		male		
	Drosophila	nasalis	sensu lato	Grimshaw	3.5-.4.4	4.0-5.0		male		
	Drosophila	neutralis	sensu lato	n sp	2.8-3.2	3.2-3.7		male		
	Drosophila	nigella	sensu lato	n sp	3.6	3.85		male		
	Drosophila	nigra	sensu lato	Grimshaw			6.0-6.4	male		
	Drosophila	nigripalpus	sensu lato	n sp	2.2	2.5		male		
	Drosophila	ochracea	sensu lato	Grimshaw	4.8-5.2	5.0-5.5		male		
	Drosophila	olaae	sensu lato	Grimshaw	5.0-5.3	5.3-5.6		male		
	Drosophila	orestes	sensu lato	n sp	2.2	2.5		male		
	Drosophila	parva	sensu lato	Grimshaw	1.5	1.65		male		
	Drosophila	paucula	sensu lato	n sp			2.50-2.65	male		
	Drosophila	peniculipedis	sensu lato	n sp			4.0-4.7	male		
	Drosophila	picticomis	sensu lato	Grimshaw	3.20-3.65	3.50-4.00		male		
	Drosophila	pilimana	sensu lato	Grimshaw			3.7-4.5	male		
	Drosophila	plumosa	sensu lato	Grimshaw	2.5	3		male		
	Drosophila	polita	sensu lato	Grimshaw	3.25	3.50	3.7-4.5	male		Grimshaw in the original gave the length as body 3.25 mm. and wings 3.50 mm.
	Drosophila	polliciforma	sensu lato	n sp	3.80-4.00	4.25		male		
	Drosophila	praesutilis	sensu lato	n sp	2.2	2.4		male		
	Drosophila	prodita	sensu lato	n sp	2.5	2.9		male		
	Drosophila	prolaticilia	sensu lato	n sp	4.5	5		male		
	Drosophila	prominens	sensu lato	n sp	3	3.6		male		
	Drosophila	punalua	sensu lato	Bryan	4.00-4.75	4.50-5.70		male		
	Drosophila	quadrisetae	sensu lato	n sp	2.3	2.6		male		
	Drosophila	quasianomalipes	sensu lato	n sp	4.5	5.25		male		
	Drosophila	quasiexpansa	sensu lato	n sp	2.2	2.6		male		
	Drosophila	reducta	sensu lato	n sp			2.5	male		
	Drosophila	redunca	sensu lato	n sp	2.7	3.2		male		
	Drosophila	residua	sensu lato	n sp	2.7	3		male		
	Drosophila	retrusa	sensu lato	n sp	3.2	3.6		male		
	Drosophila	rustica	sensu lato	n sp			2.8-3.0	male		
	Drosophila	sabroskyi	sensu lato	n sp				male		
	Drosophila	sadleria	sensu lato	Bryan	3	4		male		
	Drosophila	scolostoma	sensu lato	n sp	4.1-4.6	4.7-5.2		male		
	Drosophila	seclusa	sensu lato	n sp	2.4	2.8		male		
	Drosophila	seorsa	sensu lato	n sp	2.5	2.9		male		
	Drosophila	septuosa	sensu lato	n sp	2.87-3.7	3.6-4.3		male		
	Drosophila	setiger	sensu lato	Grimshaw	2.50-2.70	2.75-3.00		male		
	Drosophila	setipalpus	sensu lato	n sp	3.2	3.5		male		
	Drosophila	sharpi	sensu lato	Grimshaw			5.5-6.3	male		
	Drosophila	sordidapex	sensu lato	Grimshaw	2.3-2.5	2.5-2.8		male		
	Drosophila	spicula	sensu lato	n sp	1.9-2.0	2.3		male		
	Drosophila	stenoptera	sensu lato	n sp	4.5-5.7	5.2-5.5		male		
	Drosophila	swezeyi	sensu lato	n sp	3.75	3.85		male		
	Drosophila	taeniata	sensu lato	n sp	3	3.3		male		
	Drosophila	tamashiroi	sensu lato	n sp	2	2.25		male		
	Drosophila	taractica	sensu lato	n sp			2.5	male		
	Drosophila	transfuga	sensu lato	n sp	2.8	3		male		
	Drosophila	undulata	sensu lato	Grimshaw			4.0-4.5	male		
	Drosophila	unicula	sensu lato	n sp			2.5	male		
	Drosophila	varga	sensu lato	n sp			2.75	male		
	Drosophila	venusta	sensu lato	n sp	4.3	4.75		male		
	Drosophila	vicaria	sensu lato	n sp			3.3	male		
	Drosophila	villitibia	sensu lato	n sp	4.7	5.2		male		
	Drosophila	vinnula	sensu lato	n sp	2.4	2.7		male		
	Drosophila	williamsi	sensu lato	n sp	2.5	2.8		male		
	Drosophila	xanthognoma	sensu lato	n sp	2.30-2.50	2.70-2.85		male		
	Drosophila	xanthosoma	sensu lato	Grimshaw			3.2-3.5	male		
	Drosophila	canipolita	sensu lato	n sp	2.00-2.25	2.20-2.50		female		
	Drosophila	abjuncta	sensu lato	n sp	2.2	2.4		female		
	Drosophila	humeralis	sensu lato	Grimshaw	2.25-2.50	2.50-2.70		female		
	Drosophila	apodasta	sensu lato	n sp	2.3	2.9		female		
	Drosophila	proceriseta	sensu lato	n sp	2.3	2.5		female		
	Drosophila	freycinetiae	sensu lato	n sp	2.30-2.50	2.50-2.75		female		
	Drosophila	ancyla	sensu lato	n sp	2.5	2.8		female		
	Drosophila	nigropolita	sensu lato	n sp	2.5	2.85		female		
	Drosophila	pectinitarsus	sensu lato	n sp	2.5	2.75		female		
	Drosophila	torula	sensu lato	n sp	2.5	2.9		female		
	Drosophila	totonigra	sensu lato	n sp	2.5	2.7		female		
	Drosophila	velata	sensu lato	n sp	2.5	2.8		female		
	Drosophila	hirtitibia	sensu lato	n sp	2.5-2.8	2.7-3.0		female		
	Drosophila	bicondyla	sensu lato	n sp	2.6-3.0	3.2-3.5		female		
	Drosophila	pychnochaetae	sensu lato	n sp	2.60-2.75	2.75-3.00		female		
	Drosophila	brunneisetae	sensu lato	n sp	2.7	3.2		female		
	Drosophila	dracaenae	sensu lato	n sp	2.7	3		female		
	Drosophila	fusticula	sensu lato	n sp	2.7	3		female		
	Drosophila	araiotrichia	sensu lato	n sp	2.7-3.0	3.0-3.4		female		
	Drosophila	demipolita	sensu lato	n sp	2.8	3.2		female		
	Drosophila	improcera	sensu lato	n sp	2.80-3.00	3.00-3.25		female		
	Drosophila	propiofacies	sensu lato	n sp	2.85	3.2		female		
	Drosophila	trichaetosa	sensu lato	n sp	2.85	3.6		female		
	Drosophila	bipolita	sensu lato	n sp	2.88	3.2		female		
	Drosophila	pretiosa	sensu lato	n sp	2.9	3.1		female		
	Drosophila	aquila	sensu lato	n sp	3	3.4		female		
	Drosophila	brevicilia	sensu lato	n sp	3	3.3		female		
	Drosophila	fuscifrons	sensu lato	n sp	3	3.5		female		
	Drosophila	melanoloma	sensu lato	n sp	3	3.3-3.5		female		
	Drosophila	tetraspilota	sensu lato	n sp	3	3.2		female		
	Drosophila	variabilis	sensu lato	n sp	3	3.3		female		
	Drosophila	furvifacies	sensu lato	n sp	3.0-3.5	3.3-3.7		female		
	Drosophila	confutata	sensu lato	n sp	3.0-3.6	3.2-3.9		female		
	Drosophila	infuscata	sensu lato	Grimshaw	3.1	3.4		female		
	Drosophila	neglecta	sensu lato	n sp	3.15	3.4		female		
	Drosophila	z-notata	sensu lato	Bryan	3.2	3.4		female		
	Drosophila	fundita	sensu lato	n sp	3.2-3.5	3.8-4.3		female		
	Drosophila	agitona	sensu lato	n sp	3.25	3.6		female		
	Drosophila	imparisetae	sensu lato	n sp	3.25-3.75	3.75-4.25		female		
	Drosophila	melanosoma	sensu lato	Grimshaw	3.3	3.75		female		
	Drosophila	tendomentum	sensu lato	n sp	3.3	3.7		female		
	Drosophila	asketostoma	sensu lato	n sp	3.3-4.0	4.0-5.0		female		
	Drosophila	perissopoda	sensu lato	n sp	3.3-4.0	3.5-4.0		female		
	Drosophila	nigritarsus	sensu lato	n sp	3.4	3.6		female		
	Drosophila	flavisternum	sensu lato	n sp	3.5	3.75		female		
	Drosophila	percnosoma	sensu lato	n sp	3.5	3.9		female		
	Drosophila	velutinifrons	sensu lato	n sp	3.5	3.9		female		
	Drosophila	fungicola	sensu lato	n sp	3.5-3.7	4.2-4.6		female		
	Drosophila	haleakalae	sensu lato	Grimshaw	3.5-3.8			female		
	Drosophila	inedita	sensu lato	n sp	3.5-3.8	4.0-4.5		female		
	Drosophila	lonchoptera	sensu lato	n sp	3.6	3.4		female		
	Drosophila	prolixa	sensu lato	n sp	3.6	4		female		
	Drosophila	mimica	sensu lato	n sp	3.7	4		female		
	Drosophila	beardsleyi	sensu lato	n sp	3.8	4		female		
	Drosophila	nigrocirrus	sensu lato	n sp	3.8	4		female		
	Drosophila	paucipuncta	sensu lato	Grimshaw	3.8	4		female		
	Drosophila	tarphytrichia	sensu lato	n sp	3.8	4.2		female		
	Drosophila	magnimacula	sensu lato	n sp	3.8-4.5	4.5		female		
	Drosophila	acrostichalis	sensu lato	n sp	4	4.8		female		
	Drosophila	aglaia	sensu lato	n sp	4	5		female		
	Drosophila	mediana	sensu lato	n sp	4	4.4		female		
	Drosophila	oreas	sensu lato	n sp	4	4.65		female		
	Drosophila	semifuscata	sensu lato	n sp	4	4.5		female		
	Drosophila	eurypeza	sensu lato	n sp	4.0-4.2	4.2-4.5		female		
