subgenus	genus	species	genus_describer	describer	BL	WL	BWL	sex	type	notes
Trogloscaptomyza	Scaptomyza	dubia	Frey	n sp	1.9	2.1		female		
	Drosophila	dumalis	sensu lato	n sp	2.7	3		male		
	Drosophila	dumalis	sensu lato	n sp				female		
	Drosophila	engyochracea	sensu lato	n sp	4.8	5.5		male		
	Drosophila	engyochracea	sensu lato	n sp				female		
	Drosophila	enoplotarsus	sensu lato	n sp			2.65	male		
	Drosophila	enoplotarsus	sensu lato	n sp				female		
	Antopocerus	entrichocnemus	n gen	n sp	5.3	5		male		
	Antopocerus	entrichocnemus	n gen	n sp				female		
	Drosophila	eumecothrix	sensu lato	n sp	2.85	2.95		male		
	Drosophila	eumecothrix	sensu lato	n sp				female		
	Drosophila	eurypeza	sensu lato	n sp	2.5-2.7	2.8-3.2		male		
	Drosophila	eurypeza	sensu lato	n sp	4.0-4.2	4.2-4.5		female		
Trogloscaptomyza	Scaptomyza	eurystylata	Frey	n sp	2	2.2		male		
Trogloscaptomyza	Scaptomyza	eurystylata	Frey	n sp	2	2.2		female		
	Titanochaeta	evexa	Knab	n sp	2	2.3		male		
	Titanochaeta	evexa	Knab	n sp	2.1	2.3-2.5		female		
Trogloscaptomyza	Scaptomyza	evexa	Frey	n sp	1.8	2.1		male		
Trogloscaptomyza	Scaptomyza	evexa	Frey	n sp				female		
Trogloscaptomyza	Scaptomyza	exigua	Frey	Grimshaw	1.8-2.3	2.0-2.5		male		
Trogloscaptomyza	Scaptomyza	exigua	Frey	Grimshaw				female		
	Nudidrosophila	eximia	n gen	n sp	2	2.2		male		
	Nudidrosophila	eximia	n gen	n sp				female		
	Drosophila	expansa	sensu lato	n sp	2.5	2.85		male		
	Drosophila	expansa	sensu lato	n sp				female		
	Drosophila	fasciculisetae	sensu lato	n sp	4.5	4.75		male		
	Drosophila	fasciculisetae	sensu lato	n sp	4.8-5.2	5.0-5.5		female		
	Drosophila	fastigata	sensu lato	n sp				male		
	Drosophila	fastigata	sensu lato	n sp				female		
Trogloscaptomyza	Scaptomyza	fastigata	Frey	n sp	1.8	2.1		male		
Trogloscaptomyza	Scaptomyza	fastigata	Frey	n sp	2	2.3		female		
Rosenwaldia	Scaptomyza	finitima	Malloch	n sp	1.6	1.8		male		
	Drosophila	flavibasis	sensu lato	n sp	2.75	3.5		male		
	Drosophila	flavibasis	sensu lato	n sp				female		
	Drosophila	flaviceps	sensu lato	Grimshaw	2.5	2.5		male		
	Drosophila	flaviceps	sensu lato	Grimshaw				female		
Tantalia	Scaptomyza	flavida	Malloch	n sp	1.85	2		male		
Tantalia	Scaptomyza	flavida	Malloch	n sp				female		
	Drosophila	flavisternum	sensu lato	n sp			2.7-3.1	male		
	Drosophila	flavisternum	sensu lato	n sp	3.5	3.75		female		
	Drosophila	freycinetiae	sensu lato	n sp	2.1	2.4		male		
	Drosophila	freycinetiae	sensu lato	n sp	2.30-2.50	2.50-2.75		female		
	Drosophila	fundita	sensu lato	n sp	2.2	2.5		male		
	Drosophila	fundita	sensu lato	n sp	3.2-3.5	3.8-4.3		female		
	Drosophila	fungicola	sensu lato	n sp	3.2-3.5	3.8-4.3		male		
	Drosophila	fungicola	sensu lato	n sp	3.5-3.7	4.2-4.6		female		
	Drosophila	furva	sensu lato	n sp	2.2	2.4		male		
	Drosophila	furva	sensu lato	n sp				female		
	Drosophila	furvifacies	sensu lato	n sp	3	3.4		male		
	Drosophila	furvifacies	sensu lato	n sp	3.0-3.5	3.3-3.7		female		
	Drosophila	fuscifrons	sensu lato	n sp	2.3	2.7		male		
	Drosophila	fuscifrons	sensu lato	n sp	3	3.5		female		
Alloscaptomyza	Scaptomyza	fuscifrons	Hackman	Hackman	1.6	1.8		male		
Alloscaptomyza	Scaptomyza	fuscifrons	Hackman	Hackman				female		
	Drosophila	fuscoamoeba	sensu lato	Bryan			2.5-3.5	male		
	Drosophila	fuscoamoeba	sensu lato	Bryan				female		
	Drosophila	fuscoapex	sensu lato	n sp	2	2.4		male		
	Drosophila	fuscoapex	sensu lato	n sp				female		
	Drosophila	fusticula	sensu lato	n sp	2.5	2.7		male		
	Drosophila	fusticula	sensu lato	n sp	2.7	3		female		
