genus	subgenus	group	species	host_group	host_family	host_genus	host_species	substrate	records	individuals	island	references	notes
Drosophila		bristle tarsus	expansa	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	3	15	HM	12,18	
Drosophila		bristle tarsus	basimacula	seed plants	Araliaceae	Cheirodendron		leaf	2	26	K	12	
Drosophila		bristle tarsus	trichaetosa	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	14	279	H	12,18	
Drosophila		ciliated tarsus	imparisetae	seed plants	Araliaceae	Cheirodendron	trigynum	bark	2	3	H	24	
Drosophila		ciliated tarsus	sp_3	seed plants	Araliaceae	Cheirodendron	trigynum	bark	2	4	H	24	
Drosophila		ciliated tarsus	melanopedis	seed plants	Araliaceae	Cheirodendron	trigynum	bark, stem, root	1	3	H	24	
Drosophila		ciliated tarsus	imparisetae	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	1	1	H	12	
Drosophila		ciliated tarsus	20vii_1964	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	1	2	Mo	12	n. sp. rel. orestes in 12
Drosophila		ciliated tarsus	carnosa	seed plants	Araliaceae	Cheirodendron		leaf	1	7	O	12	
Drosophila		ciliated tarsus	setipalpus	seed plants	Araliaceae	Tetraplasandara		leaf	2	7	M	12	
Drosophila		ciliated tarsus	paucula	seed plants	Araliaceae	Cheirodendron		leaf	1	11	O	12	
Drosophila		ciliated tarsus	williamsi	seed plants	Araliaceae	Cheirodendron		leaf	1	29	O	12	n. sp. rel. paucula in 12
Drosophila		ciliated tarsus	12iii1965	seed plants	Araliaceae	Tetraplasandara		leaf	1	many	O	12	n. sp. rel. kraussi in 12
Drosophila		ciliated tarsus	latigena	seed plants	Araliaceae	Cheirodendron	trigynum	stem, branch, root	15	41	H	12,24	
Drosophila		ciliated tarsus	medialis	seed plants	Araliaceae	Cheirodendron	trigynum	stem, branch, root	10	48	H	12,24	
Drosophila		dissita	P85	seed plants	Araliaceae	Tetraplasandra		bark	1	1	M	24	
Drosophila		dissita	sp_20	seed plants	Araliaceae	Cheirodendron	trigynum	bark	2	3	H	24	
Drosophila		dissita	dissita	seed plants	Araliaceae	Cheirodendron	trigynum	bark	1	5	H	24	
Drosophila		dissita	sp_25	seed plants	Araliaceae	Cheirodendron	trigynum	bark	11	30	H	24	
Drosophila		dissita	G87_J20	seed plants	Araliaceae	Cheirodendron	trigynum	stem	3	9	H	12,24	
Drosophila		dissita	J20	seed plants	Araliaceae	Cheirodendron	trigynum	stem	3	9	H	12,24	n. sp. nr. ischnotrix in 12
Drosophila		grimshawi	grimshawi	seed plants	Araliaceae	Tetraplasandra		bark	1	1	L	15	
Drosophila		grimshawi	murphyi	seed plants	Araliaceae	Tetraplasandra	oahuensis	bark	1	1	H	15	
Drosophila		grimshawi	orphnopeza	seed plants	Araliaceae	Tetraplasandra	kavaiensis	bark	1	1	M	15	
Drosophila		grimshawi	orthofascia	seed plants	Araliaceae	Cheirodendron	trigynum	bark	1	1	M	15	
Drosophila		grimshawi	pilimana	seed plants	Araliaceae	Cheirodendron		bark	1	1	O	15	
Drosophila		grimshawi	punalua	seed plants	Araliaceae	Tetraplasandra	oahuensis	bark	1	1	O	15	
Drosophila		grimshawi	grimshawi	seed plants	Araliaceae	Tetraplasandra	kavaiensis	bark	1	2	M	15	
Drosophila		grimshawi	villosipedis	seed plants	Araliaceae	Tetraplasandra		bark	1	2	K	15	
Drosophila		grimshawi	atrimentum	seed plants	Araliaceae	Tetraplasandra		bark	1	9	O	15	
Drosophila		grimshawi	orphnopeza	seed plants	Araliaceae	Tetraplasandra	oahuensis	bark	2	12	M	15	
Drosophila		grimshawi	crucigera	seed plants	Araliaceae	Reynoldsia	sandwicensis	bark	1	13	O	15	
Drosophila		grimshawi	atrimentum	seed plants	Araliaceae	Tetraplasandra	oahuensis	bark	1	14	O	15	
Drosophila		grimshawi	P50_Q10	seed plants	Araliaceae	Tetraplasandra	hawaiensis	bark	4	15	H	15	sp. nr. sobrina in 15
Drosophila		grimshawi	crucigera	seed plants	Araliaceae	Tetraplasandra	oahuensis	bark	3	18	O	15	
Drosophila		grimshawi	murphyi	seed plants	Araliaceae	Cheirodendron	trigynum	bark	6	22	H	1524	
Drosophila		grimshawi	Q94	seed plants	Araliaceae	Reynoldsia	sandwicensis	bark	1	24	Mo	15	sp. nr. reynoldsiae in 15
Drosophila		grimshawi	sobrina	seed plants	Araliaceae	Tetraplasandra	oahuensis	bark	1	45	O	15	
Drosophila		grimshawi	sproati	seed plants	Araliaceae	Cheirodendron	trigynum	bark	4	57	H	15,24	
Drosophila		grimshawi	reynoldsiae	seed plants	Araliaceae	Reynoldsia	sandwicensis	bark, flux	1	1	O	15	
Drosophila		grimshawi	gradata	seed plants	Araliaceae	Tetraplasandra	oahuensis	bark, flux	2	3	O	15	
Drosophila		grimshawi	crucigera	seed plants	Araliaceae	Reynoldsia	sandwicensis	bark, flux	2	7	O	15	
Drosophila		grimshawi	sobrina	seed plants	Araliaceae	Reynoldsia	sandwicensis	bark, flux	4	36	O	15	
Drosophila		grimshawi	grimshawi	seed plants	Araliaceae	Reynoldsia	sandwicensis	bark, stem	1	4	Mo	15	
Drosophila		grimshawi	reynoldsiae	seed plants	Araliaceae	Reynoldsia	sandwicensis	bark, stem	7	131	O	15	
Drosophila		grimshawi	gradata	seed plants	Araliaceae	Reynoldsia	sandwicensis	flux	1	2	O	15	
