genus	subgenus	group	species	host_group	host_family	host_genus	host_species	substrate	records	individuals	island	references	notes
Drosophila		semifuscata	Q12	seed plants	Oleaceae	Nestegis	sandwicensis	flux	2	9	O	24	
Drosophila		semifuscata	anoplostoma	seed plants	Oleaceae	Nestegis	sandwicensis	flux	3	18	M,L	24	
Drosophila		dissita	R33	seed plants	Pandanaceae	Freycinetia	arborea	fruit	1	6	M	24	
Drosophila		dissita	R33	seed plants	Pandanaceae	Freycinetia	arborea	leaf_axil	1	5	M	24	
Drosophila		dissita	J6G	seed plants	Pandanaceae	Freycinetia	arborea	stem	1	1	H	24	
Drosophila		dissita	sp_18	seed plants	Pandanaceae	Freycinetia	arborea	stem	3	6	H	24	
Drosophila		freycinetiae	11_iii_1973	seed plants	Pandanaceae	Freycinetia	arborea	leaf_axil	1	1	L	24	
Drosophila		freycinetiae	freycinetiae	seed plants	Pandanaceae	Freycinetia	arborea	leaf_base	1	1	O	24	
Drosophila		grimshawi	prolaticilia	seed plants	Pandanaceae	Freycinetia	arborea	bark	1	1	H	15	
Drosophila		grimshawi	bostrycha	seed plants	Pandanaceae	Freycinetia	arborea	bark	1	2	Mo	15	
Drosophila		grimshawi	grimshawi	seed plants	Pandanaceae	Freycinetia	arborea	bark	3	14	M,Mo,L	15	
Drosophila		grimshawi	punalua	seed plants	Pandanaceae	Freycinetia	arborea	bark	3	26	O	15	
Drosophila		grimshawi	ochracea	seed plants	Pandanaceae	Freycinetia	arborea	bark, stem	2	2	H	12,15	
Drosophila		grimshawi	punalua	seed plants	Pandanaceae	Freycinetia	arborea	flower	1	7	O	12	
Drosophila		grimshawi	disjuncta	seed plants	Pandanaceae	Freycinetia	arborea	fruit	1	2	M	15	
Drosophila		grimshawi	grimshawi	seed plants	Pandanaceae	Freycinetia	arborea	leaf	1	1	M	15	
Drosophila		grimshawi	punalua	seed plants	Pandanaceae	Freycinetia	arborea	leaf	3	21	O	12,15	
Drosophila		grimshawi	balioptera	seed plants	Pandanaceae	Freycinetia	arborea	leaf_axil	1	1	M	15	
Drosophila		grimshawi	crucigera	seed plants	Pandanaceae	Freycinetia	arborea	shoot	1	1	O	9	
Drosophila		grimshawi	R85	seed plants	Pandanaceae	Freycinetia	arborea	stem	1	1	Mo	15	sp. nr. balioptera in 15
Drosophila		grimshawi	disjuncta	seed plants	Pandanaceae	Freycinetia	arborea	stem, bark, fruit	2	7	M	15	
Drosophila		mimica	maemae	seed plants	Pandanaceae	Freycinetia	arborea	bark, stem	1	8	M	22	
Drosophila		mimica	infuscata	seed plants	Pandanaceae	Freycinetia	arborea	bark, stem	7	17	H	12,22,24	
Drosophila		nudidrosophila	eximia	seed plants	Pandanaceae	Freycinetia	arborea	stem	1	1	Mo	23	
Drosophila		nudidrosophila	J6	seed plants	Pandanaceae	Freycinetia	arborea	stem	1	8	H	12	n. sp. near amita in 12
Drosophila		quadrisetae	ischnotrix	seed plants	Pandanaceae	Freycinetia	arborea	leaf	1	1	O	24	
Drosophila		unplaced modified mouthpart	lelolua	seed plants	Pandanaceae	Freycinetia	arborea	live_leaf	1	1	L	24	
Drosophila		unplaced modified mouthpart	barbata	seed plants	Pandanaceae	Freycinetia	arborea	stem	1	3	H	24	
Drosophila		mimica	xenophaga	seed plants	Passifloraceae	Passiflora		leaf	1	54	H	12,22	G90 in 12
Drosophila		mimica	kambysellisi	seed plants	Passifloraceae	Passiflora		leaf	1	NA	H	17	
Drosophila		quadrisetae	tendomentum	seed plants	Passifloraceae	Passiflora	pulchella	flower	1	1	H	12	
Drosophila		quadrisetae	G41	seed plants	Passifloraceae	Passiflora		leaf	1	6	H	12	n. sp. rel. dissita in 12
Drosophila		grimshawi	grimshawi	seed plants	Piperaceae	Piper	methysticum	stem	1	2	Mo	15	
Drosophila		mimica	mimica	seed plants	Piperaceae	Peperomia		leaf	1	1	H	12	
Drosophila		ciliated tarsus	G41b_G59b	seed plants	Pittosporaceae	Pittosporum		leaf	2	3	M	12	
Drosophila		grimshawi	crucigera	seed plants	Pittosporaceae	Pittosporum		flux	1	2	O	15	
Drosophila		spoon tarsus	waddingtoni	seed plants	Pittosporaceae	Pittosporum		leaf	1	2	M	12	
Drosophila		spoon tarsus	G41a_G45_G59a	seed plants	Pittosporaceae	Pittosporum		leaf	2	46	M	12	n. sp. #3 nr. mimiconformis in 12
Drosophila		unplaced modified tarsus	achyla	seed plants	Pittosporaceae	Pittosporum		leaf	2	26	M	12	
Drosophila		quadrisetae	tendomentum	seed plants	Rosaceae	Rubus		fruit	1	1	H	12	
Drosophila		quadrisetae	tendomentum	seed plants	Rosaceae	Rubus		leaf	1	21	H	12	
Scaptomyza	Elmomyza		exigua	seed plants	Rosaceae	Rubus		fruit	1	many	H	12	
Scaptomyza	Elmomyza		tumidula	seed plants	Rosaceae	Rubus		fruit	1	many	H	12	
Scaptomyza	Elmomyza		hackmani	seed plants	Rosaceae	Rubus		fruit	1	NA	H	12	
Scaptomyza	Elmomyza		sp_E	seed plants	Rosaceae	Rubus	hawaiensis	fruit	1	NA	H	24	
Drosophila		mimica	kambysellisi	seed plants	Rubiaceae	Psychotria		leaf	1	3	H	22	
Drosophila		bristle tarsus	quasiexpansa	seed plants	Rutaceae	Platydesma	campanulata	leaf	2	13	M	12	
Drosophila		bristle tarsus	quasiexpansa	seed plants	Rutaceae	Melicope		leaf	5	74	M	12	
Drosophila		ciliated tarsus	setipalpus	seed plants	Rutaceae	Melicope		leaf	1	1	M	12	
Drosophila		grimshawi	murphyi	seed plants	Rutaceae	Melicope		leaf	1	1	H	15	
Drosophila		split tarsus	fundita	seed plants	Rutaceae	Melicope		leaf	1	1	M	12	
Drosophila		split tarsus	systenopeza	seed plants	Rutaceae	Melicope		leaf	1	1	M	12,19	n. sp. #2 nr. variabilis in 12
Drosophila		split tarsus	dicropeza	seed plants	Rutaceae	Melicope		leaf	1	24	H	19	
Scaptomyza	Tantalia		gilvivirilia	seed plants	Rutaceae	Platydesma	athulata	leaf	1	3	M	12	
Scaptomyza	Elmomyza		hackmani	seed plants	Rutaceae	Melicope		leaf	1	4	H	12	
Drosophila		ciliated tarsus	imparisetae	seed plants	Sapindaceae	Sapindus	saponaria	fruit	2	38	H	12	
Drosophila		dissita	dissita	seed plants	Sapindaceae	Sapindus	saponaria	bark	1	1	H	24	
Drosophila		dissita	dissita	seed plants	Sapindaceae	Sapindus	saponaria	fruit	1	1	H	24	
Drosophila		grimshawi	engyochracea	seed plants	Sapindaceae	Sapindus	saponaria	bark	1	38	H	15	
Drosophila		grimshawi	paucicilia	seed plants	Sapindaceae	Sapindus	oahuensis	flux	2	7	O	15	
Drosophila		grimshawi	flexipes	seed plants	Sapindaceae	Sapindus	oahuensis	flux	2	8	O	15	
Drosophila		grimshawi	crucigera	seed plants	Sapindaceae	Alectryon	macrococcus	fruit	1	1	O	3,5	
Drosophila		mimica	lobatopalpus	seed plants	Sapindaceae	Sapindus	oahuensis	flux, soil	1	1	O	22	
Drosophila		mimica	gagne	seed plants	Sapindaceae	Sapindus	oahuensis	fruit	1	2	O	22	
Drosophila		mimica	mimica	seed plants	Sapindaceae	Sapindus	saponaria	fruit	6	116	H	12,22	
Drosophila		nudidrosophila	lepidobregma	seed plants	Sapindaceae	Sapindus	saponaria	bark	1	14	H	23	
Drosophila		okala	okala	seed plants	Sapindaceae	Sapindus	saponaria	bark	1	1	H	23	
Drosophila		grimshawi	crucigera	seed plants	Sapotaceae	Pouteria	sandwicensis	fruit	1	3	O	15	
Drosophila		mimica	kauluai	seed plants	Sapotaceae	Pouteria	sandwicensis	fruit	2	24	O	3,22	
Drosophila		grimshawi	grimshawi	seed plants	Solanaceae	Solanum	linnaeanum	fruit	1	1	M	12	
Drosophila		mimica	xenophaga	seed plants	Solanaceae	Nothocestrum	longifolium	leaf	1	3	H	24	
Drosophila		quadrisetae	tendomentum	seed plants	Solanaceae	Solanum	pseudocapsicum	fruit	1	3	H	24	
Scaptomyza	Titanochaeta		chauliodon	spider	Thomisidae			spider_egg	2	3	M,Mo	12	
Scaptomyza	Titanochaeta		neoevexa	spider	Thomisidae			spider_egg	1	5	Mo	12	
Scaptomyza	Titanochaeta		setosiscutellum	spider	Thomisidae			spider_egg	1	6	Mo	12	
Drosophila		freycinetiae	nalomano	seed plants	Thymelaeaceae	Wikstroemia		bark	1	2	O	24	
Drosophila		grimshawi	craddockae	seed plants	Thymelaeaceae	Wikstroemia		bark	4	16	O,K	15	
Drosophila		grimshawi	pullipes	seed plants	Thymelaeaceae	Wikstroemia		bark	1	30	H	15	
Drosophila		unplaced modified mouthpart	omnivora	seed plants	Urticaceae	Touchardia	latifolia	rachis	1	9	O	24	
Drosophila		adiastola	R13	seed plants	Urticaceae	Touchardia	latifolia	bark	1	1	H	15	sp. nr. peniculipedis in 15
Drosophila		adiastola	toxochaeta	seed plants	Urticaceae	Touchardia	latifolia	bark	1	2	Mo	15,20	sp. nr. touchardiae in 15
Drosophila		adiastola	touchardiae	seed plants	Urticaceae	Touchardia	latifolia	bark	1	12	O	15	
Drosophila		adiastola	peniculipedis	seed plants	Urticaceae	Touchardia	latifolia	bark	3	24	M	15	
Drosophila		bristle tarsus	perissopoda	seed plants	Urticaceae	Pipturus		leaf	1	30	K	24	
Drosophila		dissita	P59A	seed plants	Urticaceae	Touchardia	latifolia	bark	1	2	K	24	
Drosophila		dissita	P59B	seed plants	Urticaceae	Touchardia	latifolia	bark	1	2	K	24	
Drosophila		dissita	eumecothrix	seed plants	Urticaceae	Touchardia	latifolia	bark	1	3	M	24	
Drosophila		dissita	eumecothrix	seed plants	Urticaceae	Urera	glabra	bark	1	4	Mo	24	
Drosophila		dissita	dissita_Molokai	seed plants	Urticaceae	Touchardia	latifolia	bark	1	5	M	24	
Drosophila		dissita	dissita_Maui	seed plants	Urticaceae	Touchardia	latifolia	bark	1	6	M	24	
Drosophila		dissita	P72_P77A	seed plants	Urticaceae	Urera	kaalae	bark	2	22	O	24	
Drosophila		dissita	Q88	seed plants	Urticaceae	Urera	glabra	bark	2	51	H	24	
Drosophila		dissita	P59A	seed plants	Urticaceae	Urera	glabra	stem	1	1	K	24	
Drosophila		dissita	dissita_Oahu	seed plants	Urticaceae	Urera		stem	2	7	O	24	
Drosophila		dissita	dissita	seed plants	Urticaceae	Urera	glabra	stem	2	11	H	12,24	
Drosophila		freycinetiae	prominens	seed plants	Urticaceae	Touchardia	latifolia	NA	1	2	K	24	substrate not recorded
Drosophila		freycinetiae	11_iv_1970	seed plants	Urticaceae	Touchardia	latifolia	stem	1	1	O	24	
Drosophila		fuscoamoeba	fuscoamoeba	seed plants	Urticaceae	Urera		stem	1	1	O	24	
Drosophila		grimshawi	aglaia	seed plants	Urticaceae	Urera	glabra	bark	1	1	O	15	
Drosophila		grimshawi	grimshawi	seed plants	Urticaceae	Touchardia	latifolia	bark	1	2	Mo	15	
Drosophila		grimshawi	crucigera	seed plants	Urticaceae	Urera	kaalae	bark	1	3	O	15	
Drosophila		grimshawi	crucigera	seed plants	Urticaceae	Pipturus		bark	2	6	O	15	
Drosophila		grimshawi	crucigera	seed plants	Urticaceae	Urera	glabra	bark, stem	3	12	O	15	
Drosophila		grimshawi	crucigera	seed plants	Urticaceae	Touchardia	latifolia	NA	1	3	O	15	substrate not recorded
Drosophila		grimshawi	assita	seed plants	Urticaceae	Urera	glabra	stem	1	2	H	15	
Drosophila		grimshawi	montgomeryi	seed plants	Urticaceae	Urera	kaalae	stem	2	3	O	15	
Drosophila		grimshawi	grimshawi	seed plants	Urticaceae	Urera	glabra	stem	1	65	L	15	
Drosophila		hirtitibia	hirtitibia	seed plants	Urticaceae	Urera		stem	1	9	O	23	
Drosophila		kahania	kahania	seed plants	Urticaceae	Urera		stem	1	1	O	23	
Drosophila		nudidrosophila	P29	seed plants	Urticaceae	Urera	glabra	stem	1	1	H	23	
Drosophila		nudidrosophila	gemmula	seed plants	Urticaceae	Urera		stem	2	2	O	23	
Drosophila		nudidrosophila	eximia	seed plants	Urticaceae	Urera	glabra	stem	1	16	L	23	
Drosophila		planitibia	hemipeza	seed plants	Urticaceae	Urera	kaalae	bark	1	6	O	15	
Drosophila		quadrisetae	G41	seed plants	Urticaceae	Urera	glabra	bark	1	1	H	24	
Drosophila		quadrisetae	R84	seed plants	Urticaceae	Touchardia	latifolia	bark	1	2	Mo	24	
Drosophila		quadrisetae	G41	seed plants	Urticaceae	Touchardia	latifolia	bark	1	5	M	24	
Drosophila		quadrisetae	tendomentum	seed plants	Urticaceae	Urera	glaba	fruit, stem, leaf	1	2	H	24	
Drosophila		quadrisetae	ischnotrix	seed plants	Urticaceae	Touchardia	latifolia	leaf	2	5	O	24	
Drosophila		setiger	imitator	seed plants	Urticaceae	Touchardia	latifolia	stem	1	1	O	24	
Drosophila		unplaced modified mouthpart	barbata	seed plants	Urticaceae	Urera	glabra	bark	1	20	H	24	
Drosophila		fuscoamoeba	aquila	fern	Woodsiaceae	Athyrium	microphyllum	rachis	1	1	H	24	
Drosophila		fuscoamoeba	araiotrichia	fern	Woodsiaceae	Athyrium	microphyllum	rachis	1	2	Mo	24	
Drosophila		quadrisetae	tendomentum	fern	Woodsiaceae	Athyrium	microphyllum	rachis	1	4	H	24	
Scaptomyza	Tantalia		nigrosignata	fern	Woodsiaceae	Athyriurn	rnicrophyllurn	rachis	1	1	H	24	
Drosophila		fuscoamoeba	fuscoamoeba	fern				rachis	1	5	O	24	
Drosophila		unplaced modified mouthpart	omnivora	fern				rachis	1	9	O	24	
Scaptomyza	Titanochaeta		bryani	spider				spider_egg	1	2	O	6,8	
Scaptomyza	Titanochaeta		swezeyi	spider				spider_egg	3	6	M,O	6,8	
Scaptomyza	Titanochaeta		ichneumon	spider				spider_egg	3	NA	H	18	
