genus	species	describer	sex	type	4C	4V	5X	CI	HW	HW/TL	M	N	TL	TL/WL	WL	pupal_length
Drosophila	fulgida	n sp	female	Allotype female, same information as holotype,BPBM 16369a	0.6	1.4	1.9	4.1	1.1	0.7	0.5	NA	1.5	0.5	2.9	
Drosophila	fulgida	n sp	female		0.5 (0.4-0.6)	1.4 (1.3-1.5)	2.1 (1.7-2.5)	4.5 (3.8-5.8)	1.1  (0.9-1.2)	0.8 (0.7-0.8)	0.5 (0.4-0.6)	11	1.4  (1.2-1.6)	0.5 (0.4-0.5)	2.9 (2.6-3.1)	
Drosophila	fulgida	n sp	male	KAUA`I: Holotype male, Mohihi Stream, Koke`e, 2700 ft., 30.vii.1963, DEH, BPBM16369	0.6	1.5	2	4.3	0.9	0.8	0.5	NA	1.2	0.5	2.4	
Drosophila	fulgida	n sp	male		0.6 (0.5-0.6)	1.5 (1.4-1.6)	2.2 (1.8-2.5)	4.2 (3.7-4.7)	1.0  (0.9-1.0)	0.8	0.5 (0.4-0.6)	11	1.2	0.5	2.6  (2.4-2.6)	
Drosophila	fungiperda	Hardy 1966: 244	female		0.5 (0.5-0.6)	1.4 (1.3-1.6)	1.8(1.7-2.3)	4.4 (3.8-5.0)	1.2 (1.1-1.3)	0.7 (0.6-0.8)	0.5 (0.4-0.6)	10	1.6  (1.4-1.8)	0.4 (0.4-0.5)	3.7  (3.5-4.1)	
Drosophila	fungiperda	Hardy 1966: 244	male		0.5 (0.4-0.5)	1.3 (1.3-1.4)	2.1 (1.7-2.5)	4.1 (3.3-4.5)	1.2  (1.1-1.2)	0.7 (0.7-0.8)	0.4 (0.4-0.5)	10	1.5  (1.4-1.7)	0.4 (0.4-0.5)	3.6  (3.4-3.8)	
Drosophila	fuscifrons	Hardy 1965: 287	male		0.5	1.3 (1.2-1.4)	1.8 (1.6-1.9)	4.4 (4.3-4.5)	0.8	0.8 (0.7-0.8)	0.5 (0.4-0.5)	2	1.1  (0.9-1.2)	0.5 (0.4-0.5)	2.3  (2.2-2.3)	
Drosophila	fuscoapex	Hardy 1965 291	male	KAUA`I: Holotype male, Alaka`i Swamp, 3800 ft., vii.1952, DEH, BPBM 6366	0.6	1.4	2.4	3.7	0.6	0.7	0.4	NA	0.8	0.4	1.9	
Drosophila	haleakalae	Grimshaw 1901: 64	female		0.7	1.3	1.7	3.2	1.4	0.7	0.4	1	1.9	0.4	4.3	
Drosophila	haleakalae	Grimshaw 1901: 64	male		0.5 (0.4-0.5)	1.4 (1.3-1.4)	1.5 (1.4-1.6)	5.1 (5.0-5.2)	1.2  (1.1-1.2)	0.7	0.4	2	1.6  (1.5-1.6)	0.5 (0.4-0.5)	3.4	
Drosophila	hemianthrax	n sp	male	HAWAI`I: Holotype male, Kilauea Forest Reserve, 26.vii.1975, HTS, BPBM xxxx	0.5	1.3	1.5	4.2	1	0.8	0.4	NA	1.2	0.4	2.9	
Drosophila	hemianthrax	n sp	male		0.5	1.4	1.6	4	0.9  (0.7 - 1.0)	0.8	0.4	3	1.2  (1.0 - 1.3)	0.4	2.6  (2.3 - 2.9)	
